airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-05-27,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Indigo,2019-05-24,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Jet Airways,2019-06-01,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,10262
Air India,2019-06-03,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,10467
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:45:00,950,1.0,In-flight meal not included,11087
Multiple Carriers,2019-03-01,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,36983
Indigo,2019-06-12,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,6496
Indigo,2019-04-09,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4174
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No Info,12121
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14781
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,11:25:00,1425,1.0,No Info,25735
Indigo,2019-06-09,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,5224
Jet Airways,2019-03-27,Delhi,Cochin,23:05:00,04:25:00,320,1.0,In-flight meal not included,7438
Indigo,2019-05-21,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Air India,2019-05-21,Kolkata,Banglore,09:50:00,23:15:00,805,3.0,No Info,14960
Indigo,2019-06-15,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6442
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,8073
Indigo,2019-05-06,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Indigo,2019-06-06,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No Info,6674
Indigo,2019-03-27,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,3175
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,10197
Multiple Carriers,2019-03-06,Delhi,Cochin,18:00:00,01:35:00,455,1.0,No Info,16863
Air Asia,2019-06-27,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,6152
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,20:40:00,735,1.0,In-flight meal not included,11134
Air India,2019-05-15,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6117
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,12692
Air India,2019-05-15,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,14960
Indigo,2019-04-27,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,4423
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,9663
Indigo,2019-05-15,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No Info,6218
Jet Airways,2019-03-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4160
Jet Airways,2019-03-09,Banglore,New Delhi,05:50:00,12:20:00,390,1.0,In-flight meal not included,10037
Indigo,2019-05-27,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Multiple Carriers,2019-05-09,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,15078
Air India,2019-05-09,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No Info,9653
Air India,2019-04-01,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,9920
Indigo,2019-03-03,Banglore,New Delhi,00:40:00,03:25:00,165,0.0,No Info,6860
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,10844
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2.0,No Info,9483
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,10844
Air India,2019-06-03,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Jet Airways,2019-05-15,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4030
Jet Airways,2019-06-09,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,7229
Spicejet,2019-03-09,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No Info,6205
Indigo,2019-06-06,Kolkata,Banglore,10:30:00,16:05:00,335,1.0,No Info,6301
Jet Airways,2019-03-03,Delhi,Cochin,18:15:00,18:50:00,1475,1.0,No Info,17234
Multiple Carriers,2019-06-24,Delhi,Cochin,12:50:00,19:15:00,385,1.0,In-flight meal not included,7268
Spicejet,2019-03-15,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,6300
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,12819
Air India,2019-03-01,Banglore,New Delhi,05:50:00,12:15:00,1825,3.0,No Info,12346
Jet Airways,2019-03-21,Delhi,Cochin,13:55:00,18:50:00,1735,2.0,In-flight meal not included,8728
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,In-flight meal not included,9663
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,21:00:00,660,1.0,In-flight meal not included,9275
Air India,2019-03-15,Banglore,New Delhi,06:45:00,12:15:00,330,1.0,No Info,8714
Indigo,2019-06-12,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,5930
Air India,2019-03-24,Kolkata,Banglore,07:00:00,13:45:00,1845,2.0,No Info,12829
Jet Airways,2019-03-21,Delhi,Cochin,09:40:00,04:25:00,2565,2.0,No Info,12819
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No Info,13067
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,10844
Spicejet,2019-03-15,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No check-in baggage included,2385
Indigo,2019-03-01,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No Info,10067
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,14151
Air India,2019-05-18,Kolkata,Banglore,08:20:00,20:25:00,725,2.0,No Info,12534
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,7826
Indigo,2019-03-24,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,6144
Jet Airways,2019-06-12,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Air India,2019-03-24,Kolkata,Banglore,16:50:00,18:30:00,1540,1.0,No Info,14641
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,7438
Indigo,2019-03-15,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4148
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,12898
Jet Airways,2019-06-01,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,No Info,14714
Air India,2019-06-15,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,10975
Multiple Carriers,2019-05-15,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,9315
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14676
Air India,2019-03-24,Banglore,New Delhi,06:10:00,08:55:00,165,0.0,No Info,3758
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,12:00:00,975,1.0,In-flight meal not included,11134
Jet Airways,2019-06-18,Delhi,Cochin,09:50:00,13:05:00,195,0.0,No Info,9564
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,10844
Indigo,2019-06-12,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,3943
Air India,2019-03-06,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No Info,9417
Multiple Carriers,2019-06-24,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,7155
Vistara,2019-05-09,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Air India,2019-06-09,Delhi,Cochin,20:00:00,07:40:00,700,1.0,No Info,8372
Multiple Carriers,2019-05-18,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,9595
Multiple Carriers,2019-06-01,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,8937
Spicejet,2019-03-18,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No check-in baggage included,2385
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No Info,18371
Multiple Carriers,2019-06-01,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,8835
Indigo,2019-05-09,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,7255
Indigo,2019-04-24,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No Info,5912
Air India,2019-06-12,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,11732
Indigo,2019-06-06,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6442
Indigo,2019-03-09,Chennai,Kolkata,17:05:00,19:40:00,155,0.0,No Info,6297
Indigo,2019-05-09,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No Info,6734
Spicejet,2019-05-12,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Air India,2019-06-27,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Multiple Carriers,2019-06-27,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18275
Goair,2019-04-03,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5135
Spicejet,2019-03-03,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No Info,6860
Air India,2019-03-06,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,14746
Spicejet,2019-05-27,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2385
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,05:05:00,1045,1.0,No Info,22270
Air India,2019-03-03,Banglore,New Delhi,09:30:00,16:20:00,410,1.0,No Info,11654
Indigo,2019-04-01,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No Info,10308
Jet Airways,2019-06-06,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,10262
Spicejet,2019-06-21,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Multiple Carriers,2019-05-21,Delhi,Cochin,07:05:00,18:10:00,665,1.0,No Info,9646
Jet Airways,2019-03-21,Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,13244
Air India,2019-05-06,Delhi,Cochin,09:45:00,09:25:00,1420,,No Info,7480
Jet Airways,2019-03-21,Banglore,New Delhi,18:40:00,07:40:00,780,1.0,In-flight meal not included,7832
Indigo,2019-06-06,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No Info,4226
Multiple Carriers,2019-06-03,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,7354
Goair,2019-05-12,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3898
Air India,2019-05-21,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,11989
Jet Airways,2019-06-12,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Air India,2019-06-24,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Spicejet,2019-06-12,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Air Asia,2019-06-15,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Indigo,2019-04-18,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Indigo,2019-03-21,Delhi,Cochin,06:40:00,16:10:00,570,1.0,No Info,6558
Indigo,2019-03-27,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No Info,4148
Spicejet,2019-03-12,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,6300
Air India,2019-04-03,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,4227
Multiple Carriers,2019-06-03,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,9736
Multiple Carriers,2019-06-27,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7155
Goair,2019-06-03,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,4959
Multiple Carriers,2019-06-01,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,13377
Air India,2019-03-06,Banglore,New Delhi,08:50:00,16:30:00,1900,2.0,No Info,14143
Air Asia,2019-04-12,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Indigo,2019-05-27,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,5054
Multiple Carriers,2019-03-21,Delhi,Cochin,04:45:00,12:35:00,470,1.0,No Info,9838
Multiple Carriers,2019-03-03,Delhi,Cochin,09:45:00,22:20:00,755,1.0,No Info,13838
Jet Airways,2019-04-01,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,No Info,12121
Multiple Carriers,2019-06-27,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,10678
Air Asia,2019-04-24,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,3383
Multiple Carriers,2019-06-12,Delhi,Cochin,11:35:00,01:30:00,835,3.0,No Info,15419
Air India,2019-05-09,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,5228
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Spicejet,2019-06-18,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3257
Indigo,2019-05-21,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No Info,6794
Goair,2019-03-09,Banglore,New Delhi,20:55:00,23:50:00,175,0.0,No Info,5706
Indigo,2019-03-03,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,5755
Multiple Carriers,2019-05-18,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13727
Air India,2019-03-15,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Air India,2019-03-12,Banglore,New Delhi,08:50:00,23:25:00,875,2.0,No Info,13250
Jet Airways,2019-06-09,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Vistara,2019-03-03,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,8001
Air India,2019-05-21,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,11911
Air India,2019-06-21,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Multiple Carriers,2019-03-06,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No Info,21829
Multiple Carriers,2019-05-18,Delhi,Cochin,13:15:00,22:30:00,555,1.0,No Info,11188
Jet Airways,2019-06-24,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,14714
Spicejet,2019-03-24,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,6461
Indigo,2019-06-06,Delhi,Cochin,17:05:00,22:25:00,320,1.0,No Info,6493
Multiple Carriers,2019-03-21,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,7215
Air India,2019-06-27,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,9653
Indigo,2019-06-09,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Air India,2019-06-24,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,13381
Spicejet,2019-05-18,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Air India,2019-03-03,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,7931
Indigo,2019-04-01,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Air India,2019-03-01,Banglore,New Delhi,08:50:00,23:55:00,2345,2.0,No Info,17135
Goair,2019-06-09,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,9069
Jet Airways,2019-03-15,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4160
Jet Airways,2019-05-09,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,No Info,15129
Indigo,2019-06-01,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Indigo,2019-03-09,Banglore,New Delhi,16:55:00,19:45:00,170,0.0,No Info,10067
Air India,2019-05-09,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,7174
Air Asia,2019-05-15,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No Info,5192
Air India,2019-05-21,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No Info,8151
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,19:00:00,520,1.0,In-flight meal not included,10791
Jet Airways,2019-06-03,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,10262
Air India,2019-04-21,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Air India,2019-03-12,Mumbai,Hyderabad,19:40:00,09:10:00,810,1.0,No Info,10208
Air Asia,2019-04-15,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Air India,2019-06-09,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,10493
Multiple Carriers,2019-05-15,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,10197
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,14502
Air India,2019-05-01,Kolkata,Banglore,19:00:00,04:40:00,580,1.0,No Info,6117
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No Info,13067
Indigo,2019-04-01,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4174
Indigo,2019-03-03,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No Info,7663
Indigo,2019-05-03,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Indigo,2019-03-03,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,6038
Indigo,2019-05-27,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,9476
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,19:50:00,1360,1.0,In-flight meal not included,10844
Spicejet,2019-04-21,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,4807
Air India,2019-04-09,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,4487
Indigo,2019-05-21,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Jet Airways,2019-05-27,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,12898
Jet Airways,2019-03-09,Banglore,New Delhi,05:50:00,15:00:00,550,1.0,In-flight meal not included,10037
Multiple Carriers,2019-05-09,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14323
Air India,2019-06-01,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9863
Air India,2019-03-21,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No Info,5704
Indigo,2019-03-24,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,5618
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,No Info,14388
Air India,2019-05-18,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,10151
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,8610
Vistara,2019-05-09,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,9187
Air Asia,2019-06-06,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,11410
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,19:45:00,775,1.0,No Info,16289
Jet Airways,2019-06-15,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-06,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No Info,14848
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,No Info,11467
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,12692
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,In-flight meal not included,9663
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,07:40:00,885,1.0,No Info,13817
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,No Info,12681
Multiple Carriers,2019-03-27,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No Info,12537
Multiple Carriers,2019-05-09,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,9794
Goair,2019-03-15,Banglore,New Delhi,11:40:00,14:35:00,175,0.0,No Info,6113
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,In-flight meal not included,8586
