airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Spicejet,2019-06-09,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Indigo,2019-06-01,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Jet Airways,2019-05-09,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,12373
Indigo,2019-06-15,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Jet Airways,2019-06-12,Delhi,Cochin,08:10:00,04:25:00,1215,2.0,No Info,14300
Spicejet,2019-03-24,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No check-in baggage included,3807
Jet Airways,2019-03-06,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No Info,9536
Multiple Carriers,2019-05-18,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,7564
Jet Airways,2019-03-06,Delhi,Cochin,17:55:00,04:25:00,2070,2.0,In-flight meal not included,15812
Air Asia,2019-06-03,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Vistara,2019-05-27,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Spicejet,2019-06-01,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,5975
Air India,2019-03-06,Mumbai,Hyderabad,06:00:00,09:10:00,1630,2.0,No Info,13169
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No Info,12121
Air India,2019-06-06,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,12760
Indigo,2019-04-18,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,4591
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,No Info,14676
Air India,2019-03-03,Banglore,New Delhi,17:25:00,08:45:00,920,2.0,No Info,11570
Air India,2019-06-27,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,5201
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,18:25:00,625,1.0,In-flight meal not included,9134
Indigo,2019-06-24,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Multiple Carriers,2019-06-12,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,9646
Air Asia,2019-04-21,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,5645
Spicejet,2019-04-09,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3971
Indigo,2019-05-06,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Vistara,2019-06-06,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,11467
Jet Airways,2019-04-18,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No Info,9870
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,In-flight meal not included,13469
Jet Airways,2019-03-09,Delhi,Cochin,02:15:00,19:45:00,1050,1.0,In-flight meal not included,13843
Spicejet,2019-06-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Indigo,2019-06-18,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Jet Airways,2019-05-24,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,6144
Indigo,2019-06-09,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6838
Multiple Carriers,2019-05-21,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,8099
Air India,2019-06-06,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,12777
Indigo,2019-03-18,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No Info,5406
Air India,2019-05-18,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No Info,13486
Air India,2019-05-24,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10151
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13941
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,21:00:00,835,1.0,In-flight meal not included,10406
Air India,2019-03-09,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,11622
Spicejet,2019-05-09,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Spicejet,2019-03-09,Mumbai,Hyderabad,08:50:00,10:15:00,85,0.0,No Info,5755
Indigo,2019-03-21,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,3342
Indigo,2019-03-21,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6426
Air India,2019-03-27,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,10493
Jet Airways,2019-04-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Multiple Carriers,2019-03-06,Delhi,Cochin,17:45:00,01:35:00,470,1.0,No Info,15147
Multiple Carriers,2019-03-27,Delhi,Cochin,17:45:00,01:35:00,470,1.0,No Info,7845
Multiple Carriers,2019-06-01,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,7038
Indigo,2019-03-03,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,7648
Spicejet,2019-04-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Indigo,2019-03-15,Banglore,New Delhi,16:15:00,20:35:00,260,1.0,No Info,5607
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,8820
Air India,2019-03-21,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,6482
Jet Airways,2019-05-01,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Jet Airways,2019-05-09,Delhi,Cochin,13:25:00,04:25:00,900,2.0,No Info,16704
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,No Info,14571
Air Asia,2019-05-15,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Air Asia,2019-05-06,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Indigo,2019-05-06,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Jet Airways,2019-03-12,Banglore,New Delhi,08:00:00,21:20:00,800,1.0,No Info,13817
Jet Airways,2019-06-15,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Indigo,2019-03-27,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Air Asia,2019-04-03,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Multiple Carriers,2019-04-09,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,10877
Jet Airways,2019-03-12,Banglore,New Delhi,08:55:00,10:25:00,1530,1.0,In-flight meal not included,11087
Multiple Carriers,2019-06-27,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7198
Vistara,2019-04-27,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5613
Indigo,2019-06-09,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Air Asia,2019-06-09,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4409
Jet Airways,2019-06-03,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Indigo,2019-05-09,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,6979
Indigo,2019-06-01,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Air India,2019-05-27,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Multiple Carriers,2019-05-15,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,9103
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,13626
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,14388
Spicejet,2019-05-24,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Spicejet,2019-05-24,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,In-flight meal not included,8586
Air India,2019-04-21,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6121
Air India,2019-06-03,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6961
Indigo,2019-05-15,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,6979
Air India,2019-06-27,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,9653
Air India,2019-03-09,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,15586
Air India,2019-03-12,Banglore,New Delhi,17:25:00,10:15:00,1010,2.0,No Info,12778
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,15129
Spicejet,2019-03-21,Delhi,Cochin,15:55:00,21:55:00,360,1.0,No Info,5511
Jet Airways,2019-06-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Jet Airways,2019-05-01,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,5608
Jet Airways,2019-05-21,Delhi,Cochin,09:50:00,13:05:00,195,0.0,No Info,9564
Air Asia,2019-06-24,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6152
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,8085
Vistara,2019-06-12,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,8452
Spicejet,2019-05-09,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,No Info,14781
Jet Airways,2019-05-27,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,12898
Air India,2019-05-18,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,14151
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,22:55:00,355,1.0,No Info,8977
Spicejet,2019-04-03,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Vistara,2019-04-12,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Indigo,2019-05-06,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No Info,4284
Spicejet,2019-04-03,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2017
Air India,2019-03-09,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,10945
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No Info,11467
Air India,2019-05-06,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,11883
Air India,2019-06-01,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,10467
Multiple Carriers,2019-05-21,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No Info,9794
Air India,2019-03-24,Banglore,New Delhi,21:05:00,23:55:00,170,0.0,No Info,4441
Indigo,2019-04-27,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6937
Indigo,2019-04-24,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6171
Jet Airways,2019-05-09,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,12373
Indigo,2019-03-09,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,6144
Indigo,2019-04-21,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6258
Multiple Carriers,2019-05-09,Delhi,Cochin,07:05:00,21:00:00,835,1.0,In-flight meal not included,10546
Indigo,2019-04-06,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Spicejet,2019-06-09,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No Info,9158
Multiple Carriers,2019-05-09,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,9424
Indigo,2019-03-27,Delhi,Cochin,08:25:00,15:30:00,425,1.0,No Info,8075
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,09:20:00,1010,1.0,In-flight meal not included,9663
Jet Airways,2019-06-12,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,In-flight meal not included,8066
Goair,2019-04-01,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,4563
Jet Airways,2019-03-15,Banglore,New Delhi,08:55:00,08:15:00,1400,1.0,In-flight meal not included,10405
Jet Airways,2019-06-15,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,10262
Air Asia,2019-05-01,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4409
Spicejet,2019-04-06,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4319
Multiple Carriers,2019-03-21,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,6838
Indigo,2019-04-12,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4174
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14781
Spicejet,2019-06-15,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10262
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No Info,12692
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,No Info,14781
Air Asia,2019-03-09,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,7652
Air India,2019-06-24,Delhi,Cochin,19:00:00,07:40:00,760,1.0,No Info,8372
Goair,2019-04-09,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,4632
Jet Airways,2019-05-15,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14571
Indigo,2019-05-27,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Air India,2019-06-06,Kolkata,Banglore,17:30:00,20:25:00,1615,1.0,No Info,10413
Goair,2019-05-15,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No Info,7831
Air India,2019-03-27,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,2050
Indigo,2019-04-06,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,No Info,14388
Air India,2019-03-09,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,10660
Vistara,2019-06-24,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,12819
Air India,2019-06-15,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,7480
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,13014
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,No Info,14571
Spicejet,2019-05-27,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3573
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,15554
Goair,2019-06-12,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,13014
Jet Airways,2019-04-24,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Indigo,2019-06-06,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Spicejet,2019-06-06,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,10156
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,15544
Air India,2019-06-24,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,8372
Jet Airways,2019-06-12,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,In-flight meal not included,10919
Air India,2019-05-12,Kolkata,Banglore,09:25:00,11:10:00,1545,1.0,No Info,8891
Vistara,2019-03-03,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No Info,7608
Air India,2019-06-27,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,8372
Indigo,2019-03-15,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4148
Jet Airways,2019-06-12,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,10262
Jet Airways,2019-06-03,Delhi,Cochin,15:00:00,04:25:00,805,1.0,No Info,14714
Air India,2019-05-18,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No Info,8361
Jet Airways,2019-06-09,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,5608
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,8266
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,12692
Indigo,2019-04-03,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Spicejet,2019-05-21,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,5158
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,09:25:00,690,1.0,No Info,12395
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,9663
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No Info,13941
Indigo,2019-06-03,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,6838
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,07:40:00,1365,1.0,No Info,14815
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,12:35:00,810,2.0,In-flight meal not included,11150
Air India,2019-06-24,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,9404
Indigo,2019-03-09,Delhi,Cochin,17:30:00,01:35:00,485,1.0,No Info,12351
Air India,2019-03-12,Mumbai,Hyderabad,05:55:00,19:10:00,795,1.0,No Info,8528
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No Info,15554
Air India,2019-03-09,Delhi,Cochin,05:55:00,19:15:00,2240,2.0,No Info,14483
Vistara,2019-04-27,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,5613
Multiple Carriers,2019-03-27,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No Info,11667
Spicejet,2019-05-01,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,No Info,14714
Multiple Carriers,2019-03-06,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,15603
Air India,2019-06-09,Kolkata,Banglore,09:25:00,07:55:00,1350,1.0,No Info,8366
Jet Airways,2019-05-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Air India,2019-04-03,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,5117
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No Info,14151
Air India,2019-05-21,Kolkata,Banglore,08:20:00,11:10:00,1610,2.0,No Info,11222
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,No Info,14571
Indigo,2019-06-27,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,23:35:00,1720,1.0,In-flight meal not included,10844
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,11467
Indigo,2019-03-27,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Indigo,2019-03-01,Banglore,New Delhi,07:30:00,12:20:00,290,1.0,No Info,8110
Air India,2019-03-27,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,No Info,6681
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,12819
Spicejet,2019-06-24,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Indigo,2019-05-15,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No Info,6442
Indigo,2019-03-21,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No Info,6790
Multiple Carriers,2019-05-15,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,9103
Jet Airways,2019-06-18,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,8016
Indigo,2019-06-18,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Air India,2019-06-06,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,13465
